name,mass,width,parity,pdg(s),mass_low,mass_high,width_low,width_high
N(1440),1.44,0.35,+,"['12112', '12212']",1.36,1.38,0.18,0.205
N(1520),1.515,0.11,-,"['1214', '2124']",1.505,1.515,0.105,0.12
N(1535),1.53,0.15,-,"['22112', '22212']",1.5,1.52,0.08,0.13
N(1650),1.65,0.125,-,"['32112', '32212']",1.65,1.68,0.1,0.17
N(1675),1.675,0.145,-,"['2116', '2216']",1.65,1.66,0.12,0.15
N(1680),1.685,0.12,+,"['12116', '12216']",1.66,1.68,0.11,0.135
N(1700),1.72,0.2,-,"['21214', '22124']",1.65,1.75,0.1,0.3
N(1710),1.71,0.14,+,"['42112', '42212']",1.684,1.75,0.08,0.16
N(1720),1.72,0.25,+,"['31214', '32124']",1.66,1.71,0.15,0.3
N(1875),1.875,0.25,-,"['9902114', '9902214']",1.85,1.95,0.1,0.22
N(1880),1.88,0.4,+,"['9952112', '9952212']",1.82,1.9,0.18,0.28
N(1895),1.895,0.12,-,"['9962112', '9962212']",1.89,1.93,0.08,0.14
N(1900),1.9,0.2,+,"['9912114', '9912214']",1.9,1.94,0.09,0.16
N(1990),1.99,0.5,+,"['9902118', '9902218']",1.9,2.1,0.2,0.4
N(2060),2.1,0.4,-,"['9922116', '9922216']",2.02,2.13,0.35,0.43
N(2080),2.0,0.35,+,"['9922114', '9922214']",1.85,1.92,0.12,0.25
N(2100),2.1,0.26,+,"['9972112', '9972212']",2.05,2.15,0.24,0.34
N(2120),2.12,0.3,-,"['9932114', '9932214']",2.05,2.15,0.2,0.36
N(2190),2.18,0.4,-,"['1218', '2128']",1.95,2.15,0.3,0.5
N(2220),2.22,0.4,+,"['19922119', '19922219']",2.13,2.2,0.36,0.48
N(2250),2.25,0.47,-,"['19932119', '19932219']",2.1,2.2,0.35,0.5
Δ(1620),1.61,0.13,-,"['1112', '1212', '2122', '2222']",1.59,1.61,0.08,0.14
Δ(1700),1.71,0.3,-,"['11114', '12114', '12214', '12224']",1.64,1.69,0.2,0.3
Δ(1900),1.86,0.25,-,"['11112', '11212', '12122', '12222']",1.83,1.9,0.18,0.3
Δ(1905),1.88,0.33,+,"['1116', '1216', '2126', '2226']",1.75,1.8,0.26,0.34
Δ(1910),1.9,0.3,+,"['21112', '21212', '22122', '22222']",1.83,1.9,0.2,0.5
Δ(1920),1.92,0.3,+,"['21114', '22114', '22214', '22224']",1.85,1.95,0.2,0.4
Δ(1930),1.95,0.3,-,"['11116', '11216', '12126', '12226']",1.83,1.88,0.3,0.45
Δ(1950),1.93,0.28,+,"['1118', '2118', '2218', '2228']",1.87,1.89,0.22,0.26
